code,nom,actif
A1,Réimportations (Canada),True
A2,Haute Mer,False
C542,Afghanistan,True
C419,Afrique du Sud,True
C242,Albanie,True
C443,Algérie,True
C155,Allemagne,True
C258,Allemagne de l'est (ancienne),False
C156,Andorre,True
C446,Angola,True
C830,Anguilla,True
C462,Antarctique,True
C832,Antigua et Barbuda,True
C876,Antilles néerlandaises,True
C369,Arabie saoudite,True
C744,Argentine,True
C280,Arménie,True
C877,Aruba,True
C614,Australie,True
C143,Autriche,True
C281,Azerbaïdjan,True
C813,Bahamas,True
C313,Bahreïn,True
C512,Bangladesh,True
C822,Barbade,True
C144,Belgique,True
C815,Bermudes,True
C544,Bhoutan,True
C747,Bolivie,True
C872,"Bonaire, Saint-Eustache et Saba",True
C278,Bosnie-Herzégovine,True
C430,Botswana,True
C525,Brunéi Darussalam,True
C752,Brésil,True
C245,Bulgarie,True
C457,Burkina Faso,True
C448,Burundi,True
C285,Bélarus,True
C817,Bélize,True
C455,Bénin,True
C477,Cabo Verde,True
C548,Cambodge,True
C447,Cameroun,True
C474,Ceuta et Melilla,False
C755,Chili,True
C553,Chine,True
C316,Chypre,True
C758,Colombie,True
C460,Comores,True
C452,Congo,True
C563,Corée du Nord,True
C564,Corée du Sud,True
C845,Costa Rica,True
C290,Croatie,True
C848,Cuba,True
C870,Curaçao,True
C466,Côte d'Ivoire,True
C149,Danemark,True
C459,Djibouti,True
C833,Dominique,True
C857,El Salvador,True
C182,Espagne,True
C282,Estonie,True
C617,Fidji,True
C153,Finlande,True
C154,France,True
C295,Fédération de Russie,True
C463,Gabon,True
C413,Gambie,True
C720,Georgie du Sud-et-les Îles Sandwich du Sud,True
C414,Ghana,True
C115,Gibraltar,True
C834,Grenade,True
C3,Groenland,True
C159,Grèce,True
C862,Guadeloupe,True
C666,Guam,True
C864,Guatemala,True
C102,Guernsey,False
C465,Guinée,True
C480,Guinée équatoriale,True
C475,Guinée-Bissau,True
C716,Guyane,True
C766,Guyane française,True
C291,Géorgie,True
C867,Haïti,True
C869,Honduras,True
C516,Hong Kong,True
C262,Hongrie,True
C519,Inde,True
C556,Indonésie,True
C352,Irak,True
C347,Iran,True
C117,Irlande,True
C163,Islande,True
C355,Israël,True
C167,Italie,True
C824,Jamaïque,True
C559,Japon,True
C103,Jersey,False
C358,Jordanie,True
C292,Kazakhstan,True
C293,Kirghizistan,True
C625,Kiribati,True
C273,Kosovo,True
C359,Koweït,True
C415,Kénya,True
C549,Laos,True
C283,Lettonie,True
C363,Liban,True
C366,Libye,True
C468,Libéria,True
C187,Liechtenstein,True
C284,Lituanie,True
C170,Luxembourg,True
C431,Lésotho,True
C575,Macao,True
C276,Macédoine (Ex-République yougoslave de Macédoine),True
C469,Madagascar,True
C524,Malaisie,True
C416,Malawi,True
C514,Maldives,True
C453,Mali,True
C119,Malte,True
C473,Maroc,True
C863,Martinique,True
